tolerance_fraction,substrate,substrate_conductivity_s_m,critical_effective_conductance_ratio,critical_aln_conductivity_for_current_thickness_s_m,normal_leakage_threshold,minimum_aln_thickness_for_normal_leakage_m,maximum_aln_thickness_for_tangential_conductance_m,maximum_pinhole_fraction,intact_aln_passes_tangential_threshold,mhd_performance_only
0.05,316L,1350000.0,0.052631578947368425,42105263.15789474,0.052631578947368425,2.96875e-15,842105263157.8948,1.0,True,True
0.05,IN625,800000.0,0.052631578947368425,42105263.15789474,0.052631578947368425,2.96875e-15,842105263157.8948,1.0,True,True
0.05,molybdenum,18700000.0,0.052631578947368425,42105263.15789474,0.052631578947368425,2.96875e-15,842105263157.8948,0.4503236701379116,True,True
0.1,316L,1350000.0,0.11111111111111112,88888888.88888888,0.11111111111111112,1.4062500000000001e-15,1777777777777.7776,1.0,True,True
0.1,IN625,800000.0,0.11111111111111112,88888888.88888888,0.11111111111111112,1.4062500000000001e-15,1777777777777.7776,1.0,True,True
0.1,molybdenum,18700000.0,0.11111111111111112,88888888.88888888,0.11111111111111112,1.4062500000000001e-15,1777777777777.7776,0.9506833036244801,True,True
0.25,316L,1350000.0,0.3333333333333333,266666666.66666663,0.3333333333333333,4.687500000000001e-16,5333333333333.333,1.0,True,True
0.25,IN625,800000.0,0.3333333333333333,266666666.66666663,0.3333333333333333,4.687500000000001e-16,5333333333333.333,1.0,True,True
0.25,molybdenum,18700000.0,0.3333333333333333,266666666.66666663,0.3333333333333333,4.687500000000001e-16,5333333333333.333,1.0,True,True
