wall_model,conductance_ratio,effective_conductance_ratio,pinhole_fraction,current_closure_proxy,lorentz_drag_proxy,ideal_insulator_deviation_fraction,mhd_performance_only
ideal_insulator,0.0,0.0,0.0,0.0,0.0,0.0,True
bare_metal,0.0084375,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
intact_aln,1.25e-17,1.25e-17,0.0,1.25e-17,4e-13,1.25e-17,True
degraded_aln,1.2500000000000001e-12,1.2500000000000001e-12,0.0,1.2499999999984379e-12,3.999999999995001e-08,1.2499999999984379e-12,True
pinhole_sweep,0.0,0.0,0.0,0.0,0.0,0.0,True
pinhole_sweep,0.0,8.4375e-09,1e-06,8.437499928808595e-09,0.00026999999772187505,8.437499928808595e-09,True
pinhole_sweep,0.0,8.437500000000001e-08,1e-05,8.437499288085999e-08,0.0026999997721875195,8.437499288085999e-08,True
pinhole_sweep,0.0,8.437500000000001e-07,0.0001,8.437492880865382e-07,0.026999977218769223,8.437492880865382e-07,True
pinhole_sweep,0.0,8.4375e-06,0.001,8.437428809194422e-06,0.2699977218942215,8.437428809194422e-06,True
pinhole_sweep,0.0,8.4375e-05,0.01,8.436788146000182e-05,2.6997722067200582,8.436788146000182e-05,True
pinhole_sweep,0.0,0.0008437500000000001,0.1,0.000843038686108596,26.977237955475072,0.000843038686108596,True
pinhole_sweep,0.0,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1e-10,1e-10,0.0,9.999999999e-11,3.19999999968e-06,9.999999999e-11,True
pinhole_sweep,1e-10,8.5374999e-09,1e-06,8.537499827111095e-09,0.0002731999944675551,8.537499827111095e-09,True
pinhole_sweep,1e-10,8.447499900000002e-08,1e-05,8.447499186397517e-08,0.0027031997396472053,8.447499186397517e-08,True
pinhole_sweep,1e-10,8.4384999e-07,0.0001,8.438492779177952e-07,0.027003176893369448,8.438492779177952e-07,True
pinhole_sweep,1e-10,8.4375999e-06,0.001,8.437528707508621e-06,0.27000091864027587,8.437528707508621e-06,True
pinhole_sweep,1e-10,8.4375099e-05,0.01,8.436798044329766e-05,2.699775374185525,8.436798044329766e-05,True
pinhole_sweep,1e-10,0.0008437500900000001,0.1,0.0008430387759569129,26.977240830621213,0.0008430387759569129,True
pinhole_sweep,1e-10,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1e-09,1e-09,0.0,9.99999999e-10,3.1999999967999995e-05,9.99999999e-10,True
pinhole_sweep,1e-09,9.437499e-09,1e-06,9.437498910933614e-09,0.00030199996514987566,9.437498910933614e-09,True
pinhole_sweep,1e-09,8.537499000000001e-08,1e-05,8.537498271111172e-08,0.002731999446755575,8.537498271111172e-08,True
pinhole_sweep,1e-09,8.447499000000001e-07,0.0001,8.447491863982093e-07,0.027031973964742696,8.447491863982093e-07,True
pinhole_sweep,1e-09,8.438499e-06,0.001,8.438427792335513e-06,0.2700296893547364,8.438427792335513e-06,True
pinhole_sweep,1e-09,8.437599e-05,0.01,8.436887129295948e-05,2.6998038813747036,8.436887129295948e-05,True
pinhole_sweep,1e-09,0.0008437509000000001,0.1,0.000843039584591765,26.977266706936483,0.000843039584591765,True
pinhole_sweep,1e-09,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1e-08,1e-08,0.0,9.999999900000002e-09,0.0003199999968000001,9.999999900000002e-09,True
pinhole_sweep,1e-08,1.843749e-08,1e-06,1.843748966005897e-08,0.000589999669121887,1.843748966005897e-08,True
pinhole_sweep,1e-08,9.437490000000002e-08,1e-05,9.437489109337912e-08,0.003019996514988132,9.437489109337912e-08,True
pinhole_sweep,1e-08,8.537490000000001e-07,0.0001,8.537482711132674e-07,0.02731994467562456,8.537482711132674e-07,True
pinhole_sweep,1e-08,8.44749e-06,0.001,8.447418640515509e-06,0.2703173964964963,8.447418640515509e-06,True
pinhole_sweep,1e-08,8.43849e-05,0.01,8.437777978949024e-05,2.700088953263688,8.437777978949024e-05,True
pinhole_sweep,1e-08,0.0008437590000000001,0.1,0.0008430476709402152,26.977525470086885,0.0008430476709402152,True
pinhole_sweep,1e-08,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1e-07,1e-07,0.0,9.999999000000099e-08,0.003199999680000032,9.999999000000099e-08,True
pinhole_sweep,1e-07,1.0843739999999999e-07,1e-06,1.0843738824133156e-07,0.00346999642372261,1.0843738824133156e-07,True
pinhole_sweep,1e-07,1.84374e-07,1e-05,1.843739660062344e-07,0.0058999669121995,1.843739660062344e-07,True
pinhole_sweep,1e-07,9.437400000000001e-07,0.0001,9.437391093556531e-07,0.0301996514993809,9.437391093556531e-07,True
pinhole_sweep,1e-07,8.5374e-06,0.001,8.537327113423501e-06,0.273194467629552,8.537327113423501e-06,True
pinhole_sweep,1e-07,8.4474e-05,0.01,8.446686474606745e-05,2.7029396718741583,8.446686474606745e-05,True
pinhole_sweep,1e-07,0.0008438400000000001,0.1,0.0008431285344175172,26.98011310136055,0.0008431285344175172,True
pinhole_sweep,1e-07,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1e-06,1e-06,0.0,9.99999000001e-07,0.031999968000032,9.99999000001e-07,True
pinhole_sweep,1e-06,1.0084365e-06,1e-06,1.008435483056851e-06,0.032269935457819234,1.008435483056851e-06,True
pinhole_sweep,1e-06,1.084365e-06,1e-05,1.0843638241538218e-06,0.0346996423729223,1.0843638241538218e-06,True
pinhole_sweep,1e-06,1.8436500000000001e-06,0.0001,1.8436466009609443e-06,0.05899669123075022,1.8436466009609443e-06,True
pinhole_sweep,1e-06,9.4365e-06,0.001,9.436410953308039e-06,0.30196515050585726,9.436410953308039e-06,True
pinhole_sweep,1e-06,8.536500000000001e-05,0.01,8.535771343879231e-05,2.731446830041354,8.535771343879231e-05,True
pinhole_sweep,1e-06,0.0008446500000000001,0.1,0.0008439371684706514,27.005989391060844,0.0008439371684706514,True
pinhole_sweep,1e-06,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1e-05,1e-05,0.0,9.99990000099999e-06,0.3199968000319997,9.99990000099999e-06,True
pinhole_sweep,1e-05,1.00084275e-05,1e-06,1.0008327332381498e-05,0.32026647463620794,1.0008327332381498e-05,True
pinhole_sweep,1e-05,1.0084275000000001e-05,1e-05,1.0084173308423212e-05,0.3226935458695428,1.0084173308423212e-05,True
pinhole_sweep,1e-05,1.084275e-05,0.0001,1.0842632436047153e-05,0.3469642379535089,1.0842632436047153e-05,True
pinhole_sweep,1e-05,1.84275e-05,0.001,1.842716043350111e-05,0.5896691338720356,1.842716043350111e-05,True
pinhole_sweep,1e-05,9.4275e-05,0.01,9.426611306219107e-05,3.0165156179901143,9.426611306219107e-05,True
pinhole_sweep,1e-05,0.0008527500000000001,0.1,0.0008520234370140864,27.264749984450766,0.0008520234370140864,True
pinhole_sweep,1e-05,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,0.0001,0.0001,0.0,9.999000099990002e-05,3.1996800319968006,9.999000099990002e-05,True
pinhole_sweep,0.0001,0.0001000083375,1e-06,9.999833683258061e-05,3.1999467786425795,9.999833683258061e-05,True
pinhole_sweep,0.0001,0.000100083375,1e-05,0.00010007335932045162,3.202347498254452,0.00010007335932045162,True
pinhole_sweep,0.0001,0.00010083375000000001,0.0001,0.00010082358357997922,3.226354674559335,0.00010082358357997922,True
pinhole_sweep,0.0001,0.0001083375,0.001,0.00010832576425751475,3.466424456240472,0.00010832576425751475,True
pinhole_sweep,0.0001,0.000183375,0.01,0.00018334137977448387,5.866924152783484,0.00018334137977448387,True
pinhole_sweep,0.0001,0.0009337500000000001,0.1,0.0009328789243044309,29.852125577741788,0.0009328789243044309,True
pinhole_sweep,0.0001,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,0.001,0.001,0.0,0.0009990009990009992,31.968031968031976,0.0009990009990009992,True
pinhole_sweep,0.001,0.0010000074374999998,1e-06,0.0009990084216482263,31.968269492743243,0.0009990084216482263,True
pinhole_sweep,0.001,0.0010000743750000001,1e-05,0.0009990752254683119,31.97040721498598,0.0009990752254683119,True
pinhole_sweep,0.001,0.00100074375,0.0001,0.0009997432631777704,31.991784421688653,0.0009997432631777704,True
pinhole_sweep,0.001,0.0010074375,0.001,0.0010064235911334076,32.205554916269044,0.0010064235911334076,True
pinhole_sweep,0.001,0.001074375,0.01,0.0010732219571597766,34.34310262911285,0.0010732219571597766,True
pinhole_sweep,0.001,0.00174375,0.1,0.0017407146288659153,55.70286812370929,0.0017407146288659153,True
pinhole_sweep,0.001,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,0.01,0.01,0.0,0.009900990099009901,316.83168316831683,0.009900990099009901,True
pinhole_sweep,0.01,0.009999998437500001,1e-06,0.009900988567297321,316.8316341535143,0.009900988567297321,True
pinhole_sweep,0.01,0.009999984375000001,1e-05,0.009900974781883893,316.83119302028456,0.009900974781883893,True
pinhole_sweep,0.01,0.009999843750000001,0.0001,0.009900836927728486,316.82678168731155,0.009900836927728486,True
pinhole_sweep,0.01,0.0099984375,0.001,0.009899458384063095,316.78266829001905,0.009899458384063095,True
pinhole_sweep,0.01,0.009984375,0.01,0.009885672736273768,316.34152756076054,0.009885672736273768,True
pinhole_sweep,0.01,0.009843750000000002,0.1,0.009747795141575123,311.92944453040394,0.009747795141575123,True
pinhole_sweep,0.01,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,0.1,0.1,0.0,0.09090909090909091,2909.090909090909,0.09090909090909091,True
pinhole_sweep,0.1,0.0999999084375,1e-06,0.09090901523759701,2909.088487603104,0.09090901523759701,True
pinhole_sweep,0.1,0.099999084375,1e-05,0.090908334193585,2909.06669419472,0.090908334193585,True
pinhole_sweep,0.1,0.09999084375000002,0.0001,0.09090152369734214,2908.8487583149486,0.09090152369734214,True
pinhole_sweep,0.1,0.0999084375,0.001,0.09083341312217183,2906.6692199094987,0.09083341312217183,True
pinhole_sweep,0.1,0.099084375,0.01,0.0901517456291743,2884.8558601335776,0.0901517456291743,True
pinhole_sweep,0.1,0.09084375000000001,0.1,0.08327842553069585,2664.9096169822674,0.08327842553069585,True
pinhole_sweep,0.1,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,1.0,1.0,0.0,0.5,16000.0,0.5,True
pinhole_sweep,1.0,0.9999990084375,1e-06,0.4999997521092521,15999.992067496069,0.4999997521092521,True
pinhole_sweep,1.0,0.999990084375,1e-05,0.49999752108146,15999.92067460672,0.49999752108146,True
pinhole_sweep,1.0,0.99990084375,0.0001,0.49997520970844384,15999.206710670203,0.49997520970844384,True
pinhole_sweep,1.0,0.9990084375,0.001,0.49975198641451457,15992.063565264467,0.49975198641451457,True
pinhole_sweep,1.0,0.990084375,0.01,0.49750874256273686,15920.27976200758,0.49750874256273686,True
pinhole_sweep,1.0,0.90084375,0.1,0.47391783254147013,15165.370641327045,0.47391783254147013,True
pinhole_sweep,1.0,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
pinhole_sweep,10.0,10.0,0.0,0.9090909090909091,29090.90909090909,0.9090909090909091,True
pinhole_sweep,10.0,9.9999900084375,1e-06,0.9090908265159374,29090.90644851,0.9090908265159374,True
pinhole_sweep,10.0,9.999900084375,1e-05,0.9090900833344416,29090.88266670213,0.9090900833344416,True
pinhole_sweep,10.0,9.99900084375,0.0001,0.909082650851124,29090.64482723597,0.909082650851124,True
pinhole_sweep,10.0,9.9900084375,0.001,0.9090082591212751,29088.264291880805,0.9090082591212751,True
pinhole_sweep,10.0,9.900084375,0.01,0.908257590895942,29064.242908670145,0.908257590895942,True
pinhole_sweep,10.0,9.00084375,0.1,0.900008436788146,28800.269977220672,0.900008436788146,True
pinhole_sweep,10.0,0.0084375,1.0,0.00836690424542919,267.7409358537341,0.00836690424542919,True
