wall_model,mesh_ny,mesh_nz,fluid_cell_count,solid_cell_count,tangential_conductance_ratio,normal_leakage_ratio,target_mean_velocity_m_s,final_mean_velocity_m_s,mean_velocity_error_fraction,u_peak_m_s,pressure_proxy,current_scaled_pressure_proxy,volumetric_flow_rate_m3_s,mean_current_magnitude,current_max,face_current_max,lorentz_power,div_current_max,div_current_relative,charge_balance_residual,interface_current_residual,interface_current_relative,potential_residual,linear_residual,solver_time_s,solver_residual,mhd_performance_only,pressure_proxy_ratio_to_ideal
ideal_insulator,42,42,324,1440,0.0084375,0.0,0.01,0.01,0.0,0.010486206432733756,0.17673157075357415,0.18154785506436485,0.0001,171.39681645372053,8760.177139365067,139.1244069411307,-1.264934744059834e-06,518.7875068856447,0.00018644733813855826,5.793976409762535e-13,12.198614178188318,0.08768133820940605,0.000660452215284358,4.905641603434381e-10,0.012,5.115028637359218e-05,True,1.0
intact_aln,42,42,324,1440,0.008437500000000013,7.81249999999971e-13,0.01,0.009999999999999997,3.469446951953614e-16,0.010486206428934818,0.17673157084136165,0.18154785507539578,0.00010000000000000002,171.39680937361683,8760.175262302137,139.12440687177718,-1.2649347526433052e-06,518.7867818960224,0.00018644707767706805,5.851958501112974e-09,12.19861413740528,0.08768133795997439,0.0006604512919857571,4.905638410742495e-10,0.012,5.115028624333613e-05,True,1.000000000496728
degraded_aln,42,42,324,1440,0.008437500001249999,7.812499971064814e-08,0.01,0.009999999999999997,3.469446951953614e-16,0.010485938090561841,0.17674043433026007,0.18155872478703233,9.999999999999999e-05,171.14915781066512,8693.53719620525,139.12533720433817,-1.26579708121957e-06,492.4348041150626,0.00017697524189707892,0.000585184838167163,12.196215034580126,0.0876635074506028,0.000626912794584852,4.905558899381054e-10,0.012,5.114168681163555e-05,True,1.0000501527635846
