observable,value,tolerance,relative_tolerance,units,source,note
secondary_flow_rms_ratio,0.04134332411726176,0.006201498617589264,0.15,dimensionless,"Bayat & Rezai, Scientific Reports 7, 13655 (2017), Eq. 8 and Eq. 9","Moderate-De target at De=20, U=0.66 m/s."
secondary_flow_peak_ratio,0.08009915136933825,0.01201487270540074,0.15,dimensionless,Bayat-Rezai average Dean velocity projected through the LMX reduced two-cell field,Peak/rms ratio comes from dean_secondary_flow_field on the reference cross-section.
