time_s,mean_velocity_m_per_s,bend_inboard_velocity_m_per_s,bend_outboard_velocity_m_per_s,pressure_drop_pa,relative_update,courant
2.400000000000e+00,1.983309014995e-01,1.872330957665e-01,2.018457799436e-01,2.616793918613e+04,8.136081658356e-04,5.062058664495e-01
2.450000000000e+00,1.984752331958e-01,1.873693407860e-01,2.019926582618e-01,2.618707081928e+04,7.340320039072e-04,5.065742868836e-01
2.500000000000e+00,1.986055429908e-01,1.874923495252e-01,2.021252672687e-01,2.620434390877e+04,6.622855980023e-04,5.069069150868e-01
2.550000000000e+00,1.987231930535e-01,1.876034078339e-01,2.022449931690e-01,2.621993898496e+04,5.975898794228e-04,5.072072281224e-01
2.600000000000e+00,1.988294132363e-01,1.877036766588e-01,2.023530875157e-01,2.623401904568e+04,5.392449072043e-04,5.074783653035e-01
2.650000000000e+00,1.989253139250e-01,1.877942041733e-01,2.024506802874e-01,2.624673125825e+04,4.866215338720e-04,5.077231609945e-01
2.700000000000e+00,1.990118976425e-01,1.878759367310e-01,2.025387916962e-01,2.625820849651e+04,4.391540034246e-04,5.079441742290e-01
2.750000000000e+00,1.990900695247e-01,1.879497287548e-01,2.026183428489e-01,2.626857072863e+04,3.963333675291e-04,5.081437154517e-01
2.800000000000e+00,1.991606467795e-01,1.880163516661e-01,2.026901653729e-01,2.627792627025e+04,3.577016215331e-04,5.083238706634e-01
2.850000000000e+00,1.992243672280e-01,1.880765019473e-01,2.027550101075e-01,2.628637291606e+04,3.228464751137e-04,5.084865232218e-01
2.900000000000e+00,1.992818970149e-01,1.881308084202e-01,2.028135549515e-01,2.629399896147e+04,2.913966835898e-04,5.086333735247e-01
2.950000000000e+00,1.993338375716e-01,1.881798388190e-01,2.028664119481e-01,2.630088412516e+04,2.630178754737e-04,5.087659567827e-01
3.000000000000e+00,1.993807319018e-01,1.882241057240e-01,2.029141336818e-01,2.630710038205e+04,2.374088199915e-04,5.088856590644e-01
3.050000000000e+00,1.994230702574e-01,1.882640719189e-01,2.029572190549e-01,2.631271271540e+04,2.142980853176e-04,5.089937317845e-01
3.100000000000e+00,1.994612952628e-01,1.883001552288e-01,2.029961185016e-01,2.631777979584e+04,1.934410442740e-04,5.090913047842e-01
3.150000000000e+00,1.994958065417e-01,1.883327328870e-01,2.030312386966e-01,2.632235459460e+04,1.746171894560e-04,5.091793981408e-01
3.200000000000e+00,1.995269648943e-01,1.883621454786e-01,2.030629468060e-01,2.632648493701e+04,1.576277242577e-04,5.092589328313e-01
3.250000000000e+00,1.995550960687e-01,1.883887005005e-01,2.030915743256e-01,2.633021400241e+04,1.422934001668e-04,5.093307403588e-01
3.300000000000e+00,1.995804941662e-01,1.884126755761e-01,2.031174205458e-01,2.633358077541e+04,1.284525741180e-04,5.093955714451e-01
3.350000000000e+00,1.996034247156e-01,1.884343213569e-01,2.031407556806e-01,2.633662045336e+04,1.159594626727e-04,5.094541038781e-01
3.400000000000e+00,1.996241274491e-01,1.884538641434e-01,2.031618236919e-01,2.633936481426e+04,1.046825723864e-04,5.095069495970e-01
3.450000000000e+00,1.996428188084e-01,1.884715082502e-01,2.031808448403e-01,2.634184254891e+04,9.450328802445e-05,5.095546610899e-01
3.500000000000e+00,1.996596942071e-01,1.884874381423e-01,2.031980179874e-01,2.634407956080e+04,8.531460229693e-05,5.095977371690e-01
3.550000000000e+00,1.996749300741e-01,1.885018203633e-01,2.032135226748e-01,2.634609923690e+04,7.701997254266e-05,5.096366281854e-01
3.600000000000e+00,1.996886856972e-01,1.885148052767e-01,2.032275210010e-01,2.634792269212e+04,6.953229138297e-05,5.096717407373e-01
3.650000000000e+00,1.997011048892e-01,1.885265286374e-01,2.032401593162e-01,2.634956899003e+04,6.277295972317e-05,5.097034419201e-01
3.700000000000e+00,1.997123174907e-01,1.885371130113e-01,2.032515697520e-01,2.635105534213e+04,5.667105173437e-05,5.097320631648e-01
3.750000000000e+00,1.997224407280e-01,1.885466690566e-01,2.032618716028e-01,2.635239728780e+04,5.116256251394e-05,5.097579037026e-01
3.800000000000e+00,1.997315804383e-01,1.885552966806e-01,2.032711725733e-01,2.635360885672e+04,4.618973010781e-05,5.097812336928e-01
3.850000000000e+00,1.997398321760e-01,1.885630860841e-01,2.032795699040e-01,2.635470271558e+04,4.170042443624e-05,5.098022970479e-01
3.900000000000e+00,1.997472822124e-01,1.885701187045e-01,2.032871513882e-01,2.635569030041e+04,3.764759642811e-05,5.098213139831e-01
3.950000000000e+00,1.997540084369e-01,1.885764680672e-01,2.032939962895e-01,2.635658193624e+04,3.398878135925e-05,5.098384833187e-01
4.000000000000e+00,1.997600811716e-01,1.885822005543e-01,2.033001761709e-01,2.635738694495e+04,3.068565100368e-05,5.098539845587e-01
4.050000000000e+00,1.997655639065e-01,1.885873760986e-01,2.033057556427e-01,2.635811374280e+04,2.770360974796e-05,5.098679797674e-01
4.100000000000e+00,1.997705139632e-01,1.885920488099e-01,2.033107930377e-01,2.635876992835e+04,2.501143031922e-05,5.098806152638e-01
4.150000000000e+00,1.997749830943e-01,1.885962675413e-01,2.033153410217e-01,2.635936236193e+04,2.258092520153e-05,5.098920231513e-01
4.200000000000e+00,1.997790180243e-01,1.886000763993e-01,2.033194471436e-01,2.635989723738e+04,2.038665022501e-05,5.099023226987e-01
4.250000000000e+00,1.997826609382e-01,1.886035152054e-01,2.033231543327e-01,2.636038014676e+04,1.840563715222e-05,5.099116215872e-01
4.300000000000e+00,1.997859499225e-01,1.886066199121e-01,2.033265013475e-01,2.636081613884e+04,1.661715240805e-05,5.099200170364e-01
4.350000000000e+00,1.997889193635e-01,1.886094229790e-01,2.033295231810e-01,2.636120977189e+04,1.500247938446e-05,5.099275968204e-01
4.400000000000e+00,1.997916003065e-01,1.886119537122e-01,2.033322514263e-01,2.636156516130e+04,1.354472200242e-05,5.099344401856e-01
4.450000000000e+00,1.997940207807e-01,1.886142385703e-01,2.033347146071e-01,2.636188602266e+04,1.222862744857e-05,5.099406186791e-01
4.500000000000e+00,1.997962060921e-01,1.886163014415e-01,2.033369384759e-01,2.636217571055e+04,1.104042620536e-05,5.099461968969e-01
4.550000000000e+00,1.997981790881e-01,1.886181638930e-01,2.033389462832e-01,2.636243725364e+04,9.967687681361e-06,5.099512331592e-01
4.600000000000e+00,1.997999603963e-01,1.886198453968e-01,2.033407590206e-01,2.636267338635e+04,8.999189917713e-06,5.099557801200e-01
4.650000000000e+00,1.998015686403e-01,1.886213635329e-01,2.033423956403e-01,2.636288657744e+04,8.124801989559e-06,5.099598853177e-01
4.700000000000e+00,1.998030206342e-01,1.886227341734e-01,2.033438732530e-01,2.636307905581e+04,7.335377866126e-06,5.099635916720e-01
4.750000000000e+00,1.998043315586e-01,1.886239716484e-01,2.033452073073e-01,2.636325283382e+04,6.622660609487e-06,5.099669379328e-01
4.800000000000e+00,1.998055151193e-01,1.886250888956e-01,2.033464117505e-01,2.636340972831e+04,5.979195899125e-06,5.099699590853e-01
4.850000000000e+00,1.998065836902e-01,1.886260975959e-01,2.033474991752e-01,2.636355137962e+04,5.398253980268e-06,5.099726867156e-01
4.900000000000e+00,1.998075484434e-01,1.886270082952e-01,2.033484809504e-01,2.636367926869e+04,4.873759203182e-06,5.099751493410e-01
4.950000000000e+00,1.998084194653e-01,1.886278305148e-01,2.033493673405e-01,2.636379473262e+04,4.400226425332e-06,5.099773727082e-01
5.000000000000e+00,1.998092058624e-01,1.886285728511e-01,2.033501676127e-01,2.636389897857e+04,3.972703597933e-06,5.099793800626e-01
5.050000000000e+00,1.998099158565e-01,1.886292430651e-01,2.033508901339e-01,2.636399309643e+04,3.586719939850e-06,5.099811923910e-01
5.100000000000e+00,1.998105568706e-01,1.886298481641e-01,2.033515424580e-01,2.636407807020e+04,3.238239151213e-06,5.099828286414e-01
5.150000000000e+00,1.998111356066e-01,1.886303944742e-01,2.033521314051e-01,2.636415478828e+04,2.923617181329e-06,5.099843059206e-01
5.200000000000e+00,1.998116581150e-01,1.886308877071e-01,2.033526631326e-01,2.636422405277e+04,2.639564098734e-06,5.099856396736e-01
5.250000000000e+00,1.998121298587e-01,1.886313330196e-01,2.033531431997e-01,2.636428658781e+04,2.383109673251e-06,5.099868438449e-01
5.300000000000e+00,1.998125557698e-01,1.886317350675e-01,2.033535766256e-01,2.636434304722e+04,2.151572302702e-06,5.099879310241e-01
5.350000000000e+00,1.998129403012e-01,1.886320980541e-01,2.033539679416e-01,2.636439402127e+04,1.942530960833e-06,5.099889125775e-01
5.400000000000e+00,1.998132874732e-01,1.886324257744e-01,2.033543212390e-01,2.636444004290e+04,1.753799873852e-06,5.099897987674e-01
5.450000000000e+00,1.998136009154e-01,1.886327216549e-01,2.033546402116e-01,2.636448159327e+04,1.583405657347e-06,5.099905988589e-01
5.500000000000e+00,1.998138839049e-01,1.886329887888e-01,2.033549281941e-01,2.636451910678e+04,1.429566674636e-06,5.099913212168e-01
5.550000000000e+00,1.998141394004e-01,1.886332299692e-01,2.033551881975e-01,2.636455297563e+04,1.290674405917e-06,5.099919733936e-01
5.600000000000e+00,1.998143700730e-01,1.886334477175e-01,2.033554229401e-01,2.636458355394e+04,1.165276623362e-06,5.099925622076e-01
5.650000000000e+00,1.998145783344e-01,1.886336443103e-01,2.033556348761e-01,2.636461116138e+04,1.052062203483e-06,5.099930938150e-01
5.700000000000e+00,1.998147663621e-01,1.886338218030e-01,2.033558262212e-01,2.636463608660e+04,9.498474174680e-07,5.099935737736e-01
5.750000000000e+00,1.998149361217e-01,1.886339820512e-01,2.033559989761e-01,2.636465859020e+04,8.575635499656e-07,5.099940071015e-01
5.800000000000e+00,1.998150893883e-01,1.886341267304e-01,2.033561549469e-01,2.636467890744e+04,7.742457250027e-07,5.099943983291e-01
5.850000000000e+00,1.998152277641e-01,1.886342573532e-01,2.033562957642e-01,2.636469725075e+04,6.990228157052e-07,5.099947515467e-01
5.900000000000e+00,1.998153526959e-01,1.886343752853e-01,2.033564229003e-01,2.636471381189e+04,6.311083333810e-07,5.099950704472e-01
5.950000000000e+00,1.998154654898e-01,1.886344817595e-01,2.033565376844e-01,2.636472876403e+04,5.697922065599e-07,5.099953583646e-01
6.000000000000e+00,1.998155673252e-01,1.886345778892e-01,2.033566413165e-01,2.636474226348e+04,5.144333532365e-07,5.099956183093e-01
6.050000000000e+00,1.998156592667e-01,1.886346646793e-01,2.033567348802e-01,2.636475445138e+04,4.644529793030e-07,5.099958529988e-01
6.100000000000e+00,1.998157422756e-01,1.886347430373e-01,2.033568193536e-01,2.636476545516e+04,4.193285257506e-07,5.099960648868e-01
6.150000000000e+00,1.998158172196e-01,1.886348137823e-01,2.033568956200e-01,2.636477538985e+04,3.785882044543e-07,5.099962561888e-01
6.200000000000e+00,1.998158848824e-01,1.886348776541e-01,2.033569644766e-01,2.636478435934e+04,3.418060659717e-07,5.099964289046e-01
6.250000000000e+00,1.998159459714e-01,1.886349353203e-01,2.033570266435e-01,2.636479245738e+04,3.085975452958e-07,5.099965848401e-01
