observable,lmx_value,reference_value,absolute_error,relative_error,relative_tolerance,validation_pass
speed_mean,0.002262260875464384,0.0032575462573318794,0.0009952853818674954,0.3055322329275816,0.2,False
speed_rms,0.009130300943734158,0.010353286928870171,0.0012229859851360138,0.1181253831308117,0.2,True
uy_mean,0.00031666389359542895,0.0003273355906036883,1.0671697008259344e-05,0.03260170086784049,0.2,True
vorticity_peak,861.1843889210718,857.616,3.5683889210718007,0.004160823633271535,0.2,True
