field_scale,station_m,b_perp_t,hartmann,total_pressure_drop_pa,hydraulic_pressure_drop_pa,mhd_pressure_drop_pa,curvature_pressure_drop_pa,total_pressure_gradient_pa_per_m
4.000000000000e+00,1.140845070423e+00,1.127817435190e-03,2.835289067483e+00,3.755597612515e+01,1.253579632369e+01,2.502017980147e+01,0.000000000000e+00,1.105850720877e+01
4.000000000000e+00,1.172535211268e+00,1.825865707360e-03,4.590155212398e+00,3.790822840384e+01,1.288401288824e+01,2.502421551561e+01,0.000000000000e+00,1.117252549057e+01
4.000000000000e+00,1.204225352113e+00,5.041578784585e-03,1.267433253360e+01,3.828163779078e+01,1.323222945278e+01,2.504940833799e+01,0.000000000000e+00,1.239375581818e+01
4.000000000000e+00,1.235915492958e+00,8.530022576451e-03,2.144414423982e+01,3.871588180190e+01,1.358044601733e+01,2.513543578457e+01,0.000000000000e+00,1.501186621698e+01
4.000000000000e+00,1.267605633803e+00,1.230078469962e-02,3.092369322559e+01,3.926043627548e+01,1.392866258188e+01,2.533177369361e+01,0.000000000000e+00,1.935557167164e+01
4.000000000000e+00,1.299295774648e+00,1.636211574078e-02,4.113372114424e+01,3.997581886672e+01,1.427687914642e+01,2.569893972029e+01,0.000000000000e+00,2.579301853068e+01
4.000000000000e+00,1.330985915493e+00,2.072055265307e-02,5.209066164115e+01,4.093482210129e+01,1.462509571097e+01,2.630972639032e+01,0.000000000000e+00,3.473074116228e+01
4.000000000000e+00,1.362676056338e+00,2.538058906794e-02,6.380581153055e+01,4.222368781364e+01,1.497331227552e+01,2.725037553812e+01,0.000000000000e+00,4.661100601730e+01
4.000000000000e+00,1.394366197183e+00,3.034426458180e-02,7.628429827838e+01,4.394316311978e+01,1.532152884006e+01,2.862163427972e+01,0.000000000000e+00,6.190699108139e+01
4.000000000000e+00,1.426056338028e+00,3.561081737280e-02,8.952420669417e+01,4.620936889676e+01,1.566974540461e+01,3.053962349215e+01,0.000000000000e+00,8.111577350985e+01
4.000000000000e+00,1.457746478873e+00,4.117627814412e-02,1.035155581205e+02,4.915440197650e+01,1.601796196916e+01,3.313644000734e+01,0.000000000000e+00,1.047485364116e+02
4.000000000000e+00,1.489436619718e+00,4.703301936388e-02,1.182391772394e+02,5.292657617717e+01,1.636617853370e+01,3.656039764347e+01,0.000000000000e+00,1.333175686976e+02
4.000000000000e+00,1.521126760563e+00,5.316944047809e-02,1.336659007105e+02,5.769021041549e+01,1.671439509825e+01,4.097581531724e+01,0.000000000000e+00,1.673206810096e+02
4.000000000000e+00,1.552816901408e+00,5.956956371665e-02,1.497555610426e+02,6.362486616970e+01,1.706261166280e+01,4.656225450691e+01,0.000000000000e+00,2.072220377009e+02
4.000000000000e+00,1.584507042254e+00,6.621267646551e-02,1.664560875314e+02,7.092392890456e+01,1.741082822734e+01,5.351310067721e+01,0.000000000000e+00,2.534299215653e+02
4.000000000000e+00,1.616197183099e+00,7.307313382626e-02,1.837030099020e+02,7.979245526261e+01,1.775904479189e+01,6.203341047072e+01,0.000000000000e+00,3.062726308095e+02
4.000000000000e+00,1.647887323944e+00,8.012011647224e-02,2.014188495685e+02,9.044421490580e+01,1.810726135644e+01,7.233695354936e+01,0.000000000000e+00,3.659717555609e+02
4.000000000000e+00,1.679577464789e+00,8.731747418642e-02,2.195127262945e+02,1.030978662589e+02,1.845547792099e+01,8.464238833788e+01,0.000000000000e+00,4.326142409437e+02
4.000000000000e+00,1.711267605634e+00,9.462381899357e-02,2.378805923237e+02,1.179722708344e+02,1.880369448553e+01,9.916857634888e+01,0.000000000000e+00,5.061259589352e+02
4.000000000000e+00,1.742957746479e+00,1.019925773144e-01,2.564053634932e+02,1.352809756424e+02,1.915191105008e+01,1.161290645924e+02,0.000000000000e+00,5.862456333937e+02
4.000000000000e+00,1.774647887324e+00,1.093722209334e-01,2.749574998782e+02,1.552259268935e+02,1.950012761463e+01,1.357257992789e+02,0.000000000000e+00,6.725024011167e+02
4.000000000000e+00,1.806338028169e+00,1.167067661881e-01,2.933962607333e+02,1.779905794852e+02,1.984834417917e+01,1.581422353060e+02,0.000000000000e+00,7.642001180053e+02
4.000000000000e+00,1.838028169014e+00,1.239362061024e-01,3.115707908596e+02,2.037325825426e+02,2.019656074372e+01,1.835360217989e+02,0.000000000000e+00,8.604062971706e+02
4.000000000000e+00,1.869718309859e+00,1.309973299503e-01,3.293221809566e+02,2.325763003505e+02,2.054477730827e+01,2.120315230422e+02,0.000000000000e+00,9.599527822606e+02
4.000000000000e+00,1.901408450704e+00,1.378245055676e-01,3.464854343213e+02,2.646054831765e+02,2.089299387281e+01,2.437124893037e+02,0.000000000000e+00,1.061444533870e+03
4.000000000000e+00,1.933098591549e+00,1.443507224321e-01,3.628920891139e+02,2.998564240938e+02,2.124121043736e+01,2.786152136565e+02,0.000000000000e+00,1.163281515135e+03
4.000000000000e+00,1.964788732394e+00,1.505087018013e-01,3.783730091975e+02,3.383119878263e+02,2.158942700191e+01,3.167225608244e+02,0.000000000000e+00,1.263691840428e+03
4.000000000000e+00,1.996478873239e+00,1.562321335077e-01,3.927614933967e+02,3.798968827831e+02,2.193764356645e+01,3.579592392166e+02,0.000000000000e+00,1.360777085731e+03
4.000000000000e+00,2.028169014085e+00,1.614569425583e-01,4.058964596762e+02,4.244745275615e+02,2.228586013100e+01,4.021886674305e+02,0.000000000000e+00,1.452567606953e+03
4.000000000000e+00,2.059859154930e+00,1.661226004362e-01,4.176257417046e+02,4.718458104884e+02,2.263407669555e+01,4.492117337929e+02,0.000000000000e+00,1.537086693324e+03
4.000000000000e+00,2.091549295775e+00,1.701734662056e-01,4.278094603380e+02,5.217499871164e+02,2.298229326010e+01,4.987676938563e+02,0.000000000000e+00,1.612421342752e+03
4.000000000000e+00,2.123239436620e+00,1.735599786043e-01,4.363230204954e+02,5.738678315239e+02,2.333050982464e+01,5.505373216993e+02,0.000000000000e+00,1.676793726522e+03
4.000000000000e+00,2.154929577465e+00,1.762398779392e-01,4.430601829555e+02,6.278270660195e+02,2.367872638919e+01,6.041483396303e+02,0.000000000000e+00,1.728633517203e+03
4.000000000000e+00,2.186619718310e+00,1.781791299582e-01,4.479353869351e+02,6.832099469880e+02,2.402694295374e+01,6.591830040342e+02,0.000000000000e+00,1.766641637249e+03
4.000000000000e+00,2.218309859155e+00,1.793528199196e-01,4.508859977454e+02,7.395846291221e+02,2.437515951828e+01,7.151876046315e+02,2.186497233679e-02,1.791227190771e+03
4.000000000000e+00,2.250000000000e+00,1.797457635403e-01,4.518738426900e+02,7.965908248207e+02,2.472337608283e+01,7.716835412913e+02,1.839074465679e-01,1.806497159986e+03
4.000000000000e+00,2.269771863834e+00,1.797457337379e-01,4.518737677682e+02,8.324269383939e+02,2.494063262747e+01,8.070091778615e+02,4.771279048961e-01,1.818463427780e+03
4.000000000000e+00,2.289543727669e+00,1.797457635403e-01,4.518738426900e+02,8.684032157357e+02,2.515788917211e+01,8.423348144317e+02,9.105121318421e-01,1.820675263759e+03
4.000000000000e+00,2.309315591503e+00,1.797457337379e-01,4.518737677682e+02,9.044013532803e+02,2.537514571674e+01,8.776604510019e+02,1.365756561600e+00,1.820674671292e+03
4.000000000000e+00,2.329087455338e+00,1.797457635403e-01,4.518738426900e+02,9.403994908248e+02,2.559240226138e+01,9.129860875721e+02,1.821000991357e+00,1.820675263759e+03
4.000000000000e+00,2.348859319172e+00,1.797457337379e-01,4.518737677682e+02,9.763976283694e+02,2.580965880602e+01,9.483117241423e+02,2.276245421115e+00,1.820674671292e+03
4.000000000000e+00,2.368631183006e+00,1.797457337379e-01,4.518737677682e+02,1.012395760057e+03,2.602691535066e+01,9.836373548554e+02,2.731489850873e+00,1.820674671292e+03
4.000000000000e+00,2.388403046841e+00,1.797457188368e-01,4.518737303072e+02,1.048393888816e+03,2.624417189530e+01,1.018962982640e+03,3.186734280630e+00,1.820674375059e+03
4.000000000000e+00,2.408174910675e+00,1.797457337379e-01,4.518737677682e+02,1.084392017575e+03,2.646142843994e+01,1.054288610425e+03,3.641978710388e+00,1.820674671292e+03
4.000000000000e+00,2.427946774510e+00,1.797457486391e-01,4.518738052291e+02,1.120390152191e+03,2.667868498457e+01,1.089614244066e+03,4.097223140146e+00,1.820674967526e+03
4.000000000000e+00,2.447718638344e+00,1.797457486391e-01,4.518738052291e+02,1.156388289736e+03,2.689594152921e+01,1.124939880636e+03,4.552467569903e+00,1.820674967526e+03
4.000000000000e+00,2.467490502178e+00,1.797457188368e-01,4.518737303072e+02,1.192386421423e+03,2.711319807385e+01,1.160265511350e+03,5.007711999661e+00,1.820674375059e+03
4.000000000000e+00,2.487262366013e+00,1.797457635403e-01,4.518738426900e+02,1.228384556039e+03,2.733045461849e+01,1.195591144991e+03,5.462956429419e+00,1.820675263759e+03
4.000000000000e+00,2.507034229847e+00,1.797457337379e-01,4.518737677682e+02,1.264382693584e+03,2.754771116313e+01,1.230916781561e+03,5.918200859176e+00,1.820674671292e+03
4.000000000000e+00,2.526806093681e+00,1.797457337379e-01,4.518737677682e+02,1.300380825271e+03,2.776496770777e+01,1.266242412275e+03,6.373445288934e+00,1.820674671292e+03
4.000000000000e+00,2.546577957516e+00,1.797457188368e-01,4.518737303072e+02,1.336378954030e+03,2.798222425240e+01,1.301568040059e+03,6.828689718692e+00,1.820674375059e+03
4.000000000000e+00,2.566349821350e+00,1.797457486391e-01,4.518738052291e+02,1.372377085718e+03,2.819948079704e+01,1.336893670772e+03,7.283934148449e+00,1.820674967526e+03
4.000000000000e+00,2.586121685185e+00,1.797457188368e-01,4.518737303072e+02,1.408375217405e+03,2.841673734168e+01,1.372219301485e+03,7.739178578207e+00,1.820674375059e+03
