station_m,total_pressure_kpa,hydraulic_pressure_kpa,mhd_pressure_kpa,curvature_pressure_kpa
2.823384046555e+00,7.228733398437e+00,3.102381217705e-02,7.184507670203e+00,1.320211348287e-02
2.843155860901e+00,7.370708007812e+00,3.124106815235e-02,7.325809856999e+00,1.365735682312e-02
2.862927675247e+00,7.512682617188e+00,3.145832412765e-02,7.467112038968e+00,1.411260016337e-02
2.882699728012e+00,7.654659179688e+00,3.167558272274e-02,7.608415924831e+00,1.456784899317e-02
2.902471542358e+00,7.796633789062e+00,3.189283869804e-02,7.749718106800e+00,1.502309233342e-02
2.922243356705e+00,7.938608398438e+00,3.211009467333e-02,7.891020288769e+00,1.547833567367e-02
2.942015171051e+00,8.080583007812e+00,3.232735064863e-02,8.032322451429e+00,1.593357901391e-02
2.961786985397e+00,8.222557617187e+00,3.254460662393e-02,8.173624609263e+00,1.638882235416e-02
2.981559038162e+00,8.364534179687e+00,3.276186521902e-02,8.314928514434e+00,1.684407118397e-02
3.001330852509e+00,8.506508789063e+00,3.297912119432e-02,8.456230696403e+00,1.729931452421e-02
3.021102666855e+00,8.648483398438e+00,3.319637716962e-02,8.597532878372e+00,1.775455786446e-02
3.040874481201e+00,8.790458984375e+00,3.341363314492e-02,8.738835084477e+00,1.820980120471e-02
3.060646533966e+00,8.932434570313e+00,3.363089174000e-02,8.880138970340e+00,1.866505003451e-02
3.080418348312e+00,9.074409179687e+00,3.384814771530e-02,9.021441152309e+00,1.912029337476e-02
3.100190162659e+00,9.216383789062e+00,3.406540369060e-02,9.162743339105e+00,1.957553671501e-02
3.119961977005e+00,9.358358398438e+00,3.428265966590e-02,9.304045545210e+00,2.003078005526e-02
3.139733791351e+00,9.500333007813e+00,3.449991564120e-02,9.445347746487e+00,2.048602339550e-02
3.159505844116e+00,9.642309570313e+00,3.471717423628e-02,9.586651651658e+00,2.094127222531e-02
3.179277658463e+00,9.784284179687e+00,3.493443021158e-02,9.727953852936e+00,2.139651556555e-02
3.199049472809e+00,9.926258789062e+00,3.515168618688e-02,9.869256030078e+00,2.185175890580e-02
3.218821287155e+00,1.006823437500e+01,3.536894216218e-02,1.001055823136e+01,2.230700224605e-02
3.238593101501e+00,1.021020898438e+01,3.558619813748e-02,1.015186043263e+01,2.276224558630e-02
3.258365154266e+00,1.035218554688e+01,3.580345673256e-02,1.029316431850e+01,2.321749441610e-02
3.278136968613e+00,1.049416015625e+01,3.602071270786e-02,1.043446650529e+01,2.367273775635e-02
3.297908782959e+00,1.063613476563e+01,3.623796868316e-02,1.057576868726e+01,2.412798109660e-02
