station_m,b_perp_t,hartmann,pressure_drop_pa,total_pressure_gradient_pa_per_m
4.701711115464e+00,3.594914674759e-01,9.037475355363e+02,2.071636236989e+04,7.180659598713e+03
4.721482979299e+00,3.594914972782e-01,9.037476104582e+02,2.085833740543e+04,7.180660783646e+03
4.741254843133e+00,3.594914376736e-01,9.037474606144e+02,2.100031242926e+04,7.180658413780e+03
4.761026706968e+00,3.594914972782e-01,9.037476104582e+02,2.114228745309e+04,7.180660783646e+03
4.780798570802e+00,3.594914376736e-01,9.037474606144e+02,2.128426247691e+04,7.180658413780e+03
4.800570434636e+00,3.594914674759e-01,9.037475355363e+02,2.142623748902e+04,7.180659598713e+03
4.820342298471e+00,3.594914674759e-01,9.037475355363e+02,2.156821251285e+04,7.180659598713e+03
4.840114162305e+00,3.594915270805e-01,9.037476853801e+02,2.171018756011e+04,7.180661968580e+03
4.859886026140e+00,3.594914376736e-01,9.037474606144e+02,2.185216259565e+04,7.180658413780e+03
4.879657889974e+00,3.594914972782e-01,9.037476104582e+02,2.199413761947e+04,7.180660783646e+03
4.899429753808e+00,3.594914972782e-01,9.037476104582e+02,2.213611266673e+04,7.180660783646e+03
4.919201617643e+00,3.594914674759e-01,9.037475355363e+02,2.227808770227e+04,7.180659598713e+03
4.938973481477e+00,3.594914376736e-01,9.037474606144e+02,2.242006271438e+04,7.180658413780e+03
